date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:20	90846/90846	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2004:49:11%20GMT	http://html.bdevs.net/paradox_prev/paradox/index.html	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/index.html	(from )
18:07:20	1166/1166	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Feb%202023%2014:13:42%20GMT	http://html.bdevs.net/robots.txt		(from )
18:07:21	1302/1302	---M-Z	200	added ('OK')	image/svg+xml	etag:%22516-6455dc47-dfb3a84901efffd8;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/images/logo/favourite_icon.svg	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/images/logo/favourite_icon.svg	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
18:07:21	194855/194855	---M-Z	200	added ('OK')	text/css	etag:%222f927-6455dc47-a64fb588c14c0aaf;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/css/bootstrap.min.css	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
18:07:24	465638/465638	---M-Z	200	added ('OK')	text/css	etag:%2271ae6-6455dc47-39babaac15e5fe60;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/css/fontawesome-pro.css	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/css/fontawesome-pro.css	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
18:07:24	81683/81683	---M-Z	200	added ('OK')	text/css	etag:%2213f13-6455dc47-5add9a109cdd21b1;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/css/animate.css	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/css/animate.css	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
18:07:25	2747/2747	---M-Z	200	added ('OK')	text/css	etag:%22abb-6455dc47-917e51ff6fac723;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/css/meanmenu.min.css	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
18:07:25	7001/7001	---M-Z	200	added ('OK')	text/css	etag:%221b59-6455dc47-8bf7a384047f0f99;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/css/cursor.css	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/css/cursor.css	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
18:07:26	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-6455dc47-ab3554ac6191e324;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/css/slick.css	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/css/slick.css	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
18:07:26	3048/3048	---M-Z	200	added ('OK')	text/css	etag:%22be8-6455dc47-2e16552f4bbf3cc0;gz%22	http://html.bdevs.net/paradox_prev/paradox/assets/css/slick-theme.css	C:/My%20Web%20Sites/Grafixxi/html.bdevs.net/paradox_prev/paradox/assets/css/slick-theme.css	(from http://html.bdevs.net/paradox_prev/paradox/index.html)
